session_id,customer_id,product_views,searches,cart_additions,checkout_started,purchase_completed
SESS_0,CUST_39,12,0,2,1,1
SESS_1,CUST_97,7,3,1,1,0
SESS_2,CUST_39,11,9,3,0,0
SESS_3,CUST_90,1,5,1,0,1
SESS_4,CUST_76,6,6,3,1,1
SESS_5,CUST_32,15,1,1,0,1
SESS_6,CUST_5,15,5,4,1,1
SESS_7,CUST_87,19,6,4,0,1
SESS_8,CUST_18,11,9,4,0,1
SESS_9,CUST_79,2,9,0,0,0
SESS_10,CUST_39,14,1,3,1,0
SESS_11,CUST_91,2,1,4,0,0
SESS_12,CUST_96,4,9,0,1,1
SESS_13,CUST_58,17,6,3,1,1
SESS_14,CUST_58,3,0,1,1,1
SESS_15,CUST_47,13,7,0,1,1
SESS_16,CUST_40,9,2,2,0,1
SESS_17,CUST_12,7,5,0,1,1
SESS_18,CUST_44,15,8,0,1,0
SESS_19,CUST_88,11,5,3,0,0
SESS_20,CUST_52,2,8,1,1,1
SESS_21,CUST_41,15,6,2,0,0
SESS_22,CUST_99,14,8,4,1,1
SESS_23,CUST_62,11,1,4,0,0
SESS_24,CUST_26,3,7,0,1,1
SESS_25,CUST_37,17,7,3,0,1
SESS_26,CUST_59,12,1,3,1,0
SESS_27,CUST_6,15,3,4,1,0
SESS_28,CUST_4,16,6,2,0,1
SESS_29,CUST_44,5,3,1,0,1
SESS_30,CUST_57,6,3,2,0,0
SESS_31,CUST_30,19,5,1,0,0
SESS_32,CUST_22,5,9,4,1,1
SESS_33,CUST_41,3,5,1,1,0
SESS_34,CUST_9,1,9,3,0,1
SESS_35,CUST_31,6,2,0,1,1
SESS_36,CUST_52,15,8,0,0,1
SESS_37,CUST_29,2,9,4,0,1
SESS_38,CUST_38,3,1,3,1,0
SESS_39,CUST_30,17,5,2,1,0
SESS_40,CUST_81,12,6,3,1,0
SESS_41,CUST_99,18,8,0,1,0
SESS_42,CUST_1,15,2,0,1,0
SESS_43,CUST_77,12,9,3,1,0
SESS_44,CUST_76,16,2,3,1,0
SESS_45,CUST_92,8,6,0,0,1
SESS_46,CUST_11,14,3,2,0,0
SESS_47,CUST_38,17,7,4,0,0
SESS_48,CUST_65,8,6,4,0,1
SESS_49,CUST_95,15,4,3,0,0
SESS_50,CUST_12,14,6,4,1,0
SESS_51,CUST_45,18,2,0,0,1
SESS_52,CUST_26,7,1,0,0,0
SESS_53,CUST_16,3,5,3,0,0
SESS_54,CUST_94,12,1,3,0,0
SESS_55,CUST_97,3,2,3,0,1
SESS_56,CUST_59,14,5,2,0,0
SESS_57,CUST_63,15,4,4,0,0
SESS_58,CUST_87,14,7,3,1,1
SESS_59,CUST_34,7,8,1,1,0
SESS_60,CUST_69,17,2,1,0,1
SESS_61,CUST_82,12,9,0,1,1
SESS_62,CUST_29,4,2,4,1,0
SESS_63,CUST_70,9,2,3,1,1
SESS_64,CUST_73,6,5,1,1,1
SESS_65,CUST_95,16,0,4,0,0
SESS_66,CUST_97,2,6,0,1,1
SESS_67,CUST_62,8,0,2,1,1
SESS_68,CUST_27,11,4,4,1,0
SESS_69,CUST_59,13,9,4,0,0
SESS_70,CUST_78,17,7,2,0,0
SESS_71,CUST_93,8,3,4,0,1
SESS_72,CUST_36,18,4,0,0,0
SESS_73,CUST_92,18,3,0,0,1
SESS_74,CUST_21,14,3,2,0,1
SESS_75,CUST_67,15,7,3,0,1
SESS_76,CUST_19,6,1,1,1,1
SESS_77,CUST_95,11,0,3,1,1
SESS_78,CUST_99,13,2,4,1,1
SESS_79,CUST_67,1,8,1,0,1
SESS_80,CUST_90,6,3,2,0,0
SESS_81,CUST_63,9,9,2,0,0
SESS_82,CUST_16,8,4,1,0,1
SESS_83,CUST_11,11,1,0,0,1
SESS_84,CUST_21,19,3,1,1,0
SESS_85,CUST_16,9,1,4,1,1
SESS_86,CUST_9,17,1,0,0,0
SESS_87,CUST_64,12,3,2,0,0
SESS_88,CUST_21,14,5,1,0,0
SESS_89,CUST_89,15,6,3,0,1
SESS_90,CUST_81,16,9,3,1,1
SESS_91,CUST_49,1,2,4,0,0
SESS_92,CUST_13,10,2,3,0,0
SESS_93,CUST_63,8,9,1,0,0
SESS_94,CUST_46,18,5,1,0,0
SESS_95,CUST_28,1,2,3,1,0
SESS_96,CUST_75,2,1,1,0,1
SESS_97,CUST_35,1,7,4,0,0
SESS_98,CUST_98,1,4,0,1,1
SESS_99,CUST_51,9,0,4,1,0
