customer_id,age,location,customer_type,previous_orders,average_order_value
CUST_0,56,US,Regular,48,287.26
CUST_1,69,US,Regular,1,469.35
CUST_2,46,US,New,0,354.09
CUST_3,32,UK,Regular,47,293.63
CUST_4,60,US,New,11,66.64
CUST_5,25,IN,VIP,4,315.2
CUST_6,38,US,New,36,495.23
CUST_7,56,IN,Regular,31,87.24
CUST_8,36,IN,VIP,8,268.8
CUST_9,40,IN,VIP,40,441.14
CUST_10,28,UK,VIP,34,375.57
CUST_11,28,UK,New,18,354.57
CUST_12,41,UK,Regular,47,357.19
CUST_13,53,US,VIP,15,192.56
CUST_14,57,IN,VIP,2,160.92
CUST_15,41,UK,VIP,19,408.49
CUST_16,20,UK,New,23,408.85
CUST_17,39,US,New,32,436.19
CUST_18,19,UK,Regular,23,458.36
CUST_19,41,US,New,10,265.44
CUST_20,61,CA,VIP,48,260.73
CUST_21,47,UK,Regular,7,403.18
CUST_22,55,CA,VIP,35,331.98
CUST_23,19,US,VIP,37,356.94
CUST_24,38,IN,New,39,401.98
CUST_25,50,UK,Regular,19,447.2
CUST_26,29,US,New,34,182.24
CUST_27,39,IN,New,47,200.28
CUST_28,61,IN,Regular,24,65.11
CUST_29,42,CA,VIP,34,297.57
CUST_30,66,US,VIP,24,37.25
CUST_31,44,IN,Regular,28,243.49
CUST_32,59,UK,VIP,17,280.47
CUST_33,45,UK,Regular,45,157.54
CUST_34,33,CA,Regular,17,303.6
CUST_35,32,IN,New,1,34.64
CUST_36,64,US,Regular,34,37.93
CUST_37,68,UK,New,15,414.85
CUST_38,61,IN,VIP,40,192.89
CUST_39,69,IN,VIP,35,80.99
CUST_40,20,CA,VIP,32,270.68
CUST_41,54,UK,VIP,3,389.6
CUST_42,68,UK,New,32,123.59
CUST_43,24,US,VIP,13,318.99
CUST_44,38,UK,Regular,20,60.97
CUST_45,26,US,Regular,47,44.81
CUST_46,56,UK,Regular,19,275.05
CUST_47,35,CA,New,7,279.5
CUST_48,21,UK,VIP,6,325.97
CUST_49,42,US,VIP,2,368.52
CUST_50,31,US,VIP,16,488.41
CUST_51,67,CA,New,32,267.82
CUST_52,26,UK,Regular,47,175.02
CUST_53,43,UK,Regular,11,401.69
CUST_54,19,CA,VIP,21,150.0
CUST_55,37,UK,Regular,21,230.71
CUST_56,45,UK,Regular,45,57.66
CUST_57,64,US,New,29,32.17
CUST_58,24,UK,New,37,482.07
CUST_59,61,UK,New,37,421.27
CUST_60,25,CA,New,44,354.07
CUST_61,64,CA,VIP,7,216.3
CUST_62,52,IN,New,26,103.18
CUST_63,31,US,Regular,26,95.09
CUST_64,34,UK,VIP,33,140.12
CUST_65,53,UK,Regular,20,283.63
CUST_66,67,IN,Regular,29,363.01
CUST_67,57,UK,Regular,32,336.89
CUST_68,21,US,New,27,154.37
CUST_69,19,IN,New,46,478.34
CUST_70,23,US,VIP,32,374.19
CUST_71,59,IN,VIP,4,286.09
CUST_72,21,IN,New,47,313.63
CUST_73,46,CA,Regular,18,221.41
CUST_74,35,US,VIP,3,138.91
CUST_75,43,UK,New,34,190.87
CUST_76,61,UK,New,48,383.77
CUST_77,51,US,New,16,26.91
CUST_78,27,UK,Regular,43,75.71
CUST_79,53,UK,New,27,42.08
CUST_80,31,US,New,29,39.55
CUST_81,48,IN,New,28,430.62
CUST_82,65,US,New,45,357.76
CUST_83,32,IN,VIP,5,247.6
CUST_84,25,UK,VIP,34,66.96
CUST_85,31,UK,New,40,255.98
CUST_86,40,UK,Regular,36,247.27
CUST_87,57,CA,VIP,23,103.14
CUST_88,38,IN,New,28,228.25
CUST_89,33,CA,VIP,48,211.28
CUST_90,62,CA,VIP,45,315.61
CUST_91,35,US,Regular,30,324.84
CUST_92,64,CA,New,34,41.75
CUST_93,41,US,New,32,199.81
CUST_94,43,US,Regular,20,320.41
CUST_95,42,CA,Regular,31,261.51
CUST_96,62,IN,New,22,431.12
CUST_97,58,IN,New,32,336.17
CUST_98,46,IN,Regular,2,98.21
CUST_99,32,IN,VIP,17,53.87
