product_views,searches,cart_additions,conversion_intent,previous_orders,average_order_value,total_spend,customer_type_encoded
7,1,1,0.14285693877580175,2,39782.87544834228,79565.75089668456,1
15,1,5,0.3333331111112593,4,42840.533797470016,171362.13518988006,1
11,6,4,0.3636360330581518,4,40598.30244449747,162393.2097779899,2
8,1,4,0.4999993750007813,4,30733.48439972785,122933.9375989114,1
7,1,3,0.4285708163274053,3,40936.04071654999,122808.12214964998,0
19,6,7,0.36842085872586383,4,52600.558037437564,210402.23214975026,0
11,3,3,0.2727270247936138,1,54141.615618529315,54141.615618529315,1
11,0,5,0.45454504132268975,3,30657.25101221942,91971.75303665827,1
4,7,1,0.24999937500156252,6,41465.088975957275,248790.53385574365,1
8,2,1,0.12499984375019532,3,60156.666243223815,180469.99872967144,0
3,4,1,0.3333322222259259,8,30981.638764107134,247853.11011285707,1
2,2,0,0.0,4,28258.304008511725,113033.2160340469,0
12,2,2,0.16666652777789354,4,49916.04445953306,199664.17783813225,1
6,5,3,0.4999991666680556,6,47284.388104707185,283706.3286282431,1
2,0,1,0.49999750001249993,7,25445.358774018332,178117.51141812833,1
1,5,1,0.9999900000999989,5,17008.091045637328,85040.45522818663,1
12,0,3,0.24999979166684028,2,41173.34153444521,82346.68306889042,1
12,6,5,0.4166663194447338,3,31721.043532026106,95163.13059607832,2
17,6,4,0.23529397923883574,6,12738.856180573795,76433.13708344277,1
10,7,3,0.2999997000003,1,27691.96214227303,27691.96214227303,1
16,0,10,0.6249996093752441,8,47039.14722551862,376313.177804149,0
15,1,7,0.46666635555576297,3,35728.839336335084,107186.51800900526,1
15,3,5,0.3333331111112593,5,61491.560675279914,307457.80337639956,0
19,7,6,0.31578930747931183,7,6691.438843718908,46840.07190603236,0
12,7,6,0.49999958333368055,4,58069.88557230723,232279.5422892289,1
3,1,1,0.3333322222259259,4,32841.44930350717,131365.7972140287,1
5,3,2,0.39999920000160005,6,30673.679960654295,184042.07976392578,1
19,5,8,0.42105240997241583,4,14732.092450276206,58928.369801104825,1
7,3,0,0.0,3,44976.22773714139,134928.68321142416,0
9,5,2,0.22222197530891633,1,10598.570090096391,10598.570090096391,2
7,6,3,0.4285708163274053,4,50268.55466896876,201074.21867587505,0
18,2,4,0.2222220987655007,5,15299.539024373582,76497.6951218679,1
4,6,1,0.24999937500156252,4,17664.41059644634,70657.64238578537,0
14,6,8,0.5714281632655976,3,20131.78074975977,60395.34224927932,2
18,2,7,0.3888886728396262,6,27260.75048909754,163564.50293458524,1
9,3,4,0.44444395061783265,2,52131.13911649251,104262.27823298502,0
2,7,1,0.49999750001249993,3,60559.34800432481,181678.04401297442,1
15,3,5,0.3333331111112593,2,28811.096765899594,57622.19353179919,0
7,5,1,0.14285693877580175,3,37301.55348040901,111904.66044122704,1
12,1,3,0.24999979166684028,2,45348.75963608767,90697.51927217534,1
8,5,2,0.24999968750039064,7,33060.31454399142,231422.20180793997,1
15,1,5,0.3333331111112593,3,44761.36440939495,134284.09322818485,1
3,6,2,0.6666644444518518,6,37938.80792743953,227632.84756463717,0
14,2,4,0.2857140816327988,4,34198.10181865203,136792.40727460812,1
17,6,6,0.3529409688582536,5,16702.764576468537,83513.82288234268,1
4,0,1,0.24999937500156252,1,40235.64796887005,40235.64796887005,1
18,3,4,0.2222220987655007,3,52375.635569720864,157126.90670916258,2
8,1,3,0.37499953125058594,4,26325.832283895754,105303.32913558302,1
4,5,1,0.24999937500156252,2,8475.940487160058,16951.880974320116,2
