product_id,category,price,rating,stock,discount
PROD_0,Home,896.57,1.7,11,0
PROD_1,Apparel,395.31,4.6,89,10
PROD_2,Electronics,20.73,4.3,45,10
PROD_3,Books,906.33,4.8,33,20
PROD_4,Books,100.37,3.9,176,15
PROD_5,Books,326.12,3.5,77,5
PROD_6,Home,950.56,2.7,44,15
PROD_7,Books,951.1,4.7,154,15
PROD_8,Books,577.7,4.5,72,10
PROD_9,Books,635.52,1.2,25,15
PROD_10,Apparel,453.96,1.1,46,0
PROD_11,Home,300.28,2.5,120,10
PROD_12,Books,335.38,4.2,55,0
PROD_13,Electronics,675.79,4.9,93,5
PROD_14,Electronics,754.85,1.6,106,10
PROD_15,Electronics,793.66,3.4,62,5
PROD_16,Home,791.72,2.5,47,10
PROD_17,Home,100.29,4.9,60,20
PROD_18,Electronics,499.48,4.4,80,15
PROD_19,Books,66.98,4.4,25,20
PROD_20,Home,554.03,2.9,35,5
PROD_21,Electronics,447.12,2.7,0,15
PROD_22,Electronics,888.83,2.1,7,10
PROD_23,Books,357.41,1.2,112,15
PROD_24,Apparel,125.9,4.5,98,0
PROD_25,Home,151.56,4.3,179,15
PROD_26,Books,763.9,5.0,46,0
PROD_27,Electronics,622.04,5.0,126,15
PROD_28,Electronics,110.11,3.2,55,0
PROD_29,Books,93.27,4.1,13,5
PROD_30,Home,703.96,4.8,27,20
PROD_31,Apparel,82.04,4.4,77,10
PROD_32,Apparel,823.64,2.0,129,15
PROD_33,Electronics,709.18,2.8,108,20
PROD_34,Home,90.54,1.5,153,10
PROD_35,Apparel,93.99,4.8,13,10
PROD_36,Home,986.77,3.4,186,0
PROD_37,Home,380.53,1.9,55,5
PROD_38,Electronics,376.94,3.7,114,5
PROD_39,Apparel,814.67,3.5,6,20
PROD_40,Books,947.78,2.4,2,5
PROD_41,Electronics,986.14,1.5,110,15
PROD_42,Apparel,755.84,3.7,150,5
PROD_43,Apparel,382.5,3.1,106,20
PROD_44,Apparel,92.67,4.1,17,5
PROD_45,Apparel,779.38,3.1,37,15
PROD_46,Apparel,562.82,4.4,114,0
PROD_47,Home,429.98,3.2,14,20
PROD_48,Electronics,907.29,3.2,191,0
PROD_49,Home,120.09,4.5,118,0
PROD_50,Books,497.7,2.6,27,0
PROD_51,Apparel,21.24,1.5,38,10
PROD_52,Electronics,473.97,1.1,184,10
PROD_53,Apparel,65.74,4.0,16,0
PROD_54,Electronics,127.63,3.5,85,20
PROD_55,Home,126.35,3.8,125,15
PROD_56,Electronics,652.72,1.9,43,15
PROD_57,Books,748.58,1.5,24,5
PROD_58,Books,587.54,1.1,144,20
PROD_59,Electronics,962.55,2.4,12,10
PROD_60,Electronics,381.12,3.4,24,0
PROD_61,Electronics,292.85,2.6,67,5
PROD_62,Electronics,869.91,2.7,137,15
PROD_63,Books,231.36,4.6,66,10
PROD_64,Apparel,963.59,2.4,108,10
PROD_65,Electronics,22.03,3.1,145,0
PROD_66,Electronics,970.18,4.1,110,15
PROD_67,Books,52.73,2.6,110,20
PROD_68,Books,892.23,3.5,33,10
PROD_69,Home,532.42,4.4,110,0
PROD_70,Electronics,993.04,4.8,7,20
PROD_71,Home,83.06,1.6,167,15
PROD_72,Books,558.32,4.7,112,10
PROD_73,Books,969.61,3.0,82,20
PROD_74,Apparel,527.87,2.0,41,20
PROD_75,Electronics,633.1,2.8,168,20
PROD_76,Home,698.79,4.9,100,10
PROD_77,Books,460.0,3.0,5,10
PROD_78,Books,631.28,2.3,179,5
PROD_79,Home,588.47,3.5,25,15
PROD_80,Apparel,902.15,2.0,63,0
PROD_81,Books,54.99,1.3,186,20
PROD_82,Electronics,288.15,1.5,183,5
PROD_83,Books,950.91,1.5,58,0
PROD_84,Electronics,891.36,1.6,108,5
PROD_85,Home,461.1,1.6,197,10
PROD_86,Electronics,623.93,3.6,120,20
PROD_87,Home,284.61,1.7,32,0
PROD_88,Electronics,196.24,2.4,180,0
PROD_89,Home,469.06,4.6,149,0
PROD_90,Electronics,359.82,2.9,20,0
PROD_91,Apparel,587.82,3.7,197,0
PROD_92,Electronics,86.96,1.7,69,5
PROD_93,Electronics,974.65,1.8,111,20
PROD_94,Apparel,986.35,1.2,3,10
PROD_95,Books,701.18,1.7,93,10
PROD_96,Books,540.74,2.1,74,10
PROD_97,Electronics,316.43,1.7,189,10
PROD_98,Apparel,815.66,1.4,61,5
PROD_99,Electronics,687.88,1.5,93,15
