transaction_id,customer_id,product_id,amount,payment_method,payment_status,timestamp
TXN_0,CUST_14,PROD_8,189.25,Credit Card,SUCCESS,2026-08-30 18:17:57.573224
TXN_1,CUST_28,PROD_73,196.39,UPI,SUCCESS,2026-08-30 19:17:57.573224
TXN_2,CUST_32,PROD_51,542.44,PayPal,SUCCESS,2026-08-30 20:17:57.573224
TXN_3,CUST_93,PROD_56,30.47,Credit Card,SUCCESS,2026-08-30 21:17:57.573224
TXN_4,CUST_26,PROD_25,96.73,PayPal,SUCCESS,2026-08-30 22:17:57.573224
TXN_5,CUST_35,PROD_40,642.93,PayPal,SUCCESS,2026-08-30 23:17:57.573224
TXN_6,CUST_28,PROD_34,155.16,Credit Card,SUCCESS,2026-08-31 00:17:57.573224
TXN_7,CUST_37,PROD_62,527.41,Credit Card,FAILED,2026-08-31 01:17:57.573224
TXN_8,CUST_56,PROD_24,201.97,Credit Card,SUCCESS,2026-08-31 02:17:57.573224
TXN_9,CUST_96,PROD_89,93.06,Credit Card,SUCCESS,2026-08-31 03:17:57.573224
TXN_10,CUST_26,PROD_74,205.89,Credit Card,SUCCESS,2026-08-31 04:17:57.573224
TXN_11,CUST_54,PROD_37,581.98,Credit Card,FAILED,2026-08-31 05:17:57.573224
TXN_12,CUST_32,PROD_1,686.72,Credit Card,SUCCESS,2026-08-31 06:17:57.573224
TXN_13,CUST_67,PROD_6,666.72,UPI,SUCCESS,2026-08-31 07:17:57.573224
TXN_14,CUST_85,PROD_81,326.79,PayPal,SUCCESS,2026-08-31 08:17:57.573224
TXN_15,CUST_65,PROD_90,539.45,Credit Card,SUCCESS,2026-08-31 09:17:57.573224
TXN_16,CUST_9,PROD_33,175.91,UPI,SUCCESS,2026-08-31 10:17:57.573224
TXN_17,CUST_4,PROD_90,245.12,UPI,SUCCESS,2026-08-31 11:17:57.573224
TXN_18,CUST_73,PROD_16,718.62,UPI,SUCCESS,2026-08-31 12:17:57.573224
TXN_19,CUST_96,PROD_42,25.21,PayPal,SUCCESS,2026-08-31 13:17:57.573224
TXN_20,CUST_37,PROD_58,82.12,Credit Card,SUCCESS,2026-08-31 14:17:57.573224
TXN_21,CUST_12,PROD_50,178.19,UPI,SUCCESS,2026-08-31 15:17:57.573224
TXN_22,CUST_30,PROD_53,35.83,PayPal,SUCCESS,2026-08-31 16:17:57.573224
TXN_23,CUST_46,PROD_23,157.43,PayPal,SUCCESS,2026-08-31 17:17:57.573224
TXN_24,CUST_99,PROD_24,472.69,PayPal,SUCCESS,2026-08-31 18:17:57.573224
TXN_25,CUST_87,PROD_70,345.82,UPI,SUCCESS,2026-08-31 19:17:57.573224
TXN_26,CUST_51,PROD_51,715.75,Credit Card,SUCCESS,2026-08-31 20:17:57.573224
TXN_27,CUST_55,PROD_69,656.69,UPI,SUCCESS,2026-08-31 21:17:57.573224
TXN_28,CUST_14,PROD_87,283.33,UPI,SUCCESS,2026-08-31 22:17:57.573224
TXN_29,CUST_28,PROD_32,218.65,Credit Card,SUCCESS,2026-08-31 23:17:57.573224
TXN_30,CUST_7,PROD_48,313.06,Credit Card,SUCCESS,2026-09-01 00:17:57.573224
TXN_31,CUST_4,PROD_28,478.38,Credit Card,SUCCESS,2026-09-01 01:17:57.573224
TXN_32,CUST_28,PROD_62,225.43,PayPal,FAILED,2026-09-01 02:17:57.573224
TXN_33,CUST_46,PROD_21,504.96,Credit Card,SUCCESS,2026-09-01 03:17:57.573224
TXN_34,CUST_67,PROD_25,336.39,UPI,SUCCESS,2026-09-01 04:17:57.573224
TXN_35,CUST_75,PROD_27,448.36,Credit Card,SUCCESS,2026-09-01 05:17:57.573224
TXN_36,CUST_44,PROD_84,357.36,UPI,SUCCESS,2026-09-01 06:17:57.573224
TXN_37,CUST_1,PROD_48,246.16,PayPal,FAILED,2026-09-01 07:17:57.573224
TXN_38,CUST_26,PROD_70,759.54,UPI,SUCCESS,2026-09-01 08:17:57.573224
TXN_39,CUST_94,PROD_80,614.43,UPI,SUCCESS,2026-09-01 09:17:57.573224
TXN_40,CUST_35,PROD_83,124.99,Credit Card,SUCCESS,2026-09-01 10:17:57.573224
TXN_41,CUST_35,PROD_48,696.75,Credit Card,FAILED,2026-09-01 11:17:57.573224
TXN_42,CUST_25,PROD_19,397.63,UPI,SUCCESS,2026-09-01 12:17:57.573224
TXN_43,CUST_42,PROD_85,717.22,Credit Card,SUCCESS,2026-09-01 13:17:57.573224
TXN_44,CUST_26,PROD_91,642.89,PayPal,FAILED,2026-09-01 14:17:57.573224
TXN_45,CUST_68,PROD_62,348.79,PayPal,FAILED,2026-09-01 15:17:57.573224
TXN_46,CUST_19,PROD_60,32.64,Credit Card,SUCCESS,2026-09-01 16:17:57.573224
TXN_47,CUST_10,PROD_48,225.91,PayPal,SUCCESS,2026-09-01 17:17:57.573224
TXN_48,CUST_73,PROD_70,440.18,Credit Card,SUCCESS,2026-09-01 18:17:57.573224
TXN_49,CUST_37,PROD_0,512.28,UPI,SUCCESS,2026-09-01 19:17:57.573224
TXN_50,CUST_5,PROD_95,217.44,UPI,SUCCESS,2026-09-01 20:17:57.573224
TXN_51,CUST_71,PROD_12,124.39,PayPal,SUCCESS,2026-09-01 21:17:57.573224
TXN_52,CUST_22,PROD_93,670.42,Credit Card,SUCCESS,2026-09-01 22:17:57.573224
TXN_53,CUST_46,PROD_86,787.76,Credit Card,SUCCESS,2026-09-01 23:17:57.573224
TXN_54,CUST_89,PROD_50,427.67,PayPal,SUCCESS,2026-09-02 00:17:57.573224
TXN_55,CUST_45,PROD_55,149.77,UPI,SUCCESS,2026-09-02 01:17:57.573224
TXN_56,CUST_11,PROD_82,228.76,PayPal,FAILED,2026-09-02 02:17:57.573224
TXN_57,CUST_89,PROD_61,29.44,UPI,SUCCESS,2026-09-02 03:17:57.573224
TXN_58,CUST_12,PROD_31,732.72,Credit Card,SUCCESS,2026-09-02 04:17:57.573224
TXN_59,CUST_61,PROD_29,107.43,UPI,SUCCESS,2026-09-02 05:17:57.573224
TXN_60,CUST_81,PROD_28,467.57,PayPal,SUCCESS,2026-09-02 06:17:57.573224
TXN_61,CUST_88,PROD_48,230.13,Credit Card,SUCCESS,2026-09-02 07:17:57.573224
TXN_62,CUST_96,PROD_44,450.03,PayPal,SUCCESS,2026-09-02 08:17:57.573224
TXN_63,CUST_59,PROD_92,526.37,PayPal,SUCCESS,2026-09-02 09:17:57.573224
TXN_64,CUST_42,PROD_29,666.35,UPI,SUCCESS,2026-09-02 10:17:57.573224
TXN_65,CUST_75,PROD_15,177.04,PayPal,SUCCESS,2026-09-02 11:17:57.573224
TXN_66,CUST_99,PROD_39,23.63,UPI,SUCCESS,2026-09-02 12:17:57.573224
TXN_67,CUST_67,PROD_18,122.46,Credit Card,FAILED,2026-09-02 13:17:57.573224
TXN_68,CUST_4,PROD_17,721.51,UPI,SUCCESS,2026-09-02 14:17:57.573224
TXN_69,CUST_36,PROD_0,701.0,Credit Card,SUCCESS,2026-09-02 15:17:57.573224
TXN_70,CUST_71,PROD_77,483.97,UPI,SUCCESS,2026-09-02 16:17:57.573224
TXN_71,CUST_91,PROD_46,486.41,PayPal,SUCCESS,2026-09-02 17:17:57.573224
TXN_72,CUST_30,PROD_65,537.05,UPI,SUCCESS,2026-09-02 18:17:57.573224
TXN_73,CUST_8,PROD_91,152.67,UPI,SUCCESS,2026-09-02 19:17:57.573224
TXN_74,CUST_50,PROD_93,732.81,Credit Card,SUCCESS,2026-09-02 20:17:57.573224
TXN_75,CUST_28,PROD_37,343.73,PayPal,SUCCESS,2026-09-02 21:17:57.573224
TXN_76,CUST_77,PROD_50,315.76,UPI,SUCCESS,2026-09-02 22:17:57.573224
TXN_77,CUST_39,PROD_62,422.35,PayPal,SUCCESS,2026-09-02 23:17:57.573224
TXN_78,CUST_40,PROD_3,51.87,UPI,SUCCESS,2026-09-03 00:17:57.573224
TXN_79,CUST_85,PROD_0,145.53,UPI,SUCCESS,2026-09-03 01:17:57.573224
TXN_80,CUST_10,PROD_7,594.36,PayPal,SUCCESS,2026-09-03 02:17:57.573224
TXN_81,CUST_22,PROD_28,80.0,UPI,SUCCESS,2026-09-03 03:17:57.573224
TXN_82,CUST_0,PROD_54,488.47,PayPal,SUCCESS,2026-09-03 04:17:57.573224
TXN_83,CUST_45,PROD_2,207.6,UPI,FAILED,2026-09-03 05:17:57.573224
TXN_84,CUST_20,PROD_31,320.6,Credit Card,SUCCESS,2026-09-03 06:17:57.573224
TXN_85,CUST_89,PROD_9,241.62,PayPal,SUCCESS,2026-09-03 07:17:57.573224
TXN_86,CUST_35,PROD_73,294.2,UPI,SUCCESS,2026-09-03 08:17:57.573224
TXN_87,CUST_53,PROD_82,579.45,UPI,SUCCESS,2026-09-03 09:17:57.573224
TXN_88,CUST_86,PROD_33,248.24,Credit Card,SUCCESS,2026-09-03 10:17:57.573224
TXN_89,CUST_56,PROD_96,459.63,PayPal,SUCCESS,2026-09-03 11:17:57.573224
TXN_90,CUST_0,PROD_86,388.7,UPI,SUCCESS,2026-09-03 12:17:57.573224
TXN_91,CUST_62,PROD_54,535.98,Credit Card,FAILED,2026-09-03 13:17:57.573224
TXN_92,CUST_53,PROD_91,750.41,UPI,SUCCESS,2026-09-03 14:17:57.573224
TXN_93,CUST_54,PROD_31,590.07,PayPal,SUCCESS,2026-09-03 15:17:57.573224
TXN_94,CUST_39,PROD_49,183.73,UPI,FAILED,2026-09-03 16:17:57.573224
TXN_95,CUST_14,PROD_6,39.48,UPI,SUCCESS,2026-09-03 17:17:57.573224
TXN_96,CUST_20,PROD_92,220.88,UPI,SUCCESS,2026-09-03 18:17:57.573224
TXN_97,CUST_46,PROD_7,482.14,UPI,SUCCESS,2026-09-03 19:17:57.573224
TXN_98,CUST_72,PROD_64,55.37,Credit Card,FAILED,2026-09-03 20:17:57.573224
TXN_99,CUST_52,PROD_56,404.65,Credit Card,SUCCESS,2026-09-03 21:17:57.573224
